chr	max_distance	density
VIII	130	0.09076981318527023
IX	130	0.13019450405557778
X	130	0.11315170881433616
XI	130	0.1253374244169306
XII	130	0.10956086060081044
XIII	130	0.11913598743443264
XIV	130	0.10816961673166882
XV	130	0.11413820878207555
XVI	130	0.11064841477281118
I	135	0.13682248998775073
II	135	0.12868305328191407
III	135	0.06796453969556245
IV	135	0.1201906349690228
V	135	0.1296717412814415
VI	135	0.13726999826029665
VII	135	0.10263442535794819
VIII	135	0.09502473149048331
IX	135	0.1371826464918343
X	135	0.12100285484028851
XI	135	0.13270227469046933
XII	135	0.11609782067322898
XIII	135	0.12360143699205241
XIV	135	0.11511947093900167
XV	135	0.11986353777315124
XVI	135	0.11527572974877276
I	140	0.14462379136296902
II	140	0.13309041988037149
III	140	0.070134620141979
IV	140	0.12441927943323892
V	140	0.1344610897981148
VI	140	0.14188206291803776
VII	140	0.10742662291235082
VIII	140	0.09795731929482816
IX	140	0.14407076346706435
X	140	0.12471857228485111
XI	140	0.1378731164219215
XII	140	0.12044868328669597
XIII	140	0.12866184712542095
XIV	140	0.12056868702451637
XV	140	0.12594440896149606
XVI	140	0.1195022287477876
I	145	0.15327645970341156
II	145	0.13871030418699826
III	145	0.07416163811325127
IV	145	0.12926805545673342
V	145	0.14339750377558283
VI	145	0.14715669545197124
VII	145	0.11162942049975251
VIII	145	0.10304580346685198
IX	145	0.15380733277561562
X	145	0.13065889284761267
XI	145	0.1455678927920146
XII	145	0.1265413749319453
XIII	145	0.1345389758673173
XIV	145	0.12641186842833338
XV	145	0.13276293857458735
XVI	145	0.12478034229684432
I	150	0.1635927685932464
II	150	0.1452610971194711
III	150	0.07695487297357387
IV	150	0.13497326580209448
V	150	0.1482788550002604
VI	150	0.15372315026965402
VII	150	0.11706234990008617
VIII	150	0.10699324438409435
IX	150	0.16088413414323646
X	150	0.13741986266193407
XI	150	0.15555415586908533
XII	150	0.13038675467942648
XIII	150	0.14194028542963186
XIV	150	0.13339869672702792
XV	150	0.1381996186168492
XVI	150	0.13118390491801205
I	155	0.16958708702186623
II	155	0.15035588501495356
III	155	0.07886817622431054
IV	155	0.1409585145042244
V	155	0.15516517089936988
VI	155	0.15937533544812169
VII	155	0.12098557207545786
VIII	155	0.11053900963843859
IX	155	0.16611273778780053
X	155	0.14356936832803444
XI	155	0.15946378011325463
XII	155	0.13407817083836884
XIII	155	0.1492269298628021
XIV	155	0.13945224796100636
XV	155	0.141710139641947
XVI	155	0.13779314942208665
I	160	0.17301861713680078
II	160	0.15928744294034314
III	160	0.08133261101699427
IV	160	0.14682887567537223
V	160	0.16335688371204887
VI	160	0.16462405750644984
VII	160	0.1259033494051002
VIII	160	0.11587987409423027
IX	160	0.17219155785108936
X	160	0.14989453584373336
XI	160	0.16562290047029465
XII	160	0.14123655021392592
XIII	160	0.15331484989144673
XIV	160	0.14469491912236257
XV	160	0.1459152508359365
XVI	160	0.14311978279993165
I	165	0.18151491195301844
II	165	0.1671122402801826
III	165	0.0848930460351409
IV	165	0.1533356876573584
V	165	0.16958702935407155
VI	165	0.17369642546481542
