chr	max_distance	density
XIII	165	0.8421050354217892
XIV	165	0.8492732041110089
XV	165	0.8482485423228084
XVI	165	0.8513647784015037
I	170	0.8162784838718085
II	170	0.8269051038879269
III	170	0.9124577648484545
IV	170	0.8422705170526388
V	170	0.8242869790129672
VI	170	0.8225761675445382
VII	170	0.8656122243203109
VIII	170	0.8765096162220093
IX	170	0.8139549157967483
X	170	0.83789495421394
XI	170	0.8212340435742393
XII	170	0.8494096980365933
XIII	170	0.8348508433836598
XIV	170	0.8451831046252039
XV	170	0.842234564382919
XVI	170	0.8478196665632983
I	175	0.8087986169630524
II	175	0.8211745435227452
III	175	0.9092104727518687
IV	175	0.8372996730274758
V	175	0.8176749353377194
VI	175	0.8187377156584407
VII	175	0.8594184831429776
VIII	175	0.8706515499170877
IX	175	0.8112110355363183
X	175	0.8314102160104379
XI	175	0.813980168442269
XII	175	0.8449243491560291
XIII	175	0.8296151903170708
XIV	175	0.8376786390474454
XV	175	0.8371653390342264
XVI	175	0.8425447173509018
I	180	0.8010407526778967
II	180	0.8137235853140249
III	180	0.9069746322919243
IV	180	0.8314854500816942
V	180	0.8108858298470673
VI	180	0.8102168706808163
VII	180	0.8540405521843548
VIII	180	0.8646459655589779
IX	180	0.8055300440112029
X	180	0.8240096225147536
XI	180	0.8075871004894903
XII	180	0.8401273631323984
XIII	180	0.8205717895656895
XIV	180	0.8315307401320613
XV	180	0.8306327093323412
XVI	180	0.8370925652855392
I	185	0.7922881790303103
II	185	0.8078663623484967
III	185	0.9052492147941242
IV	185	0.8261124996980939
V	185	0.8048639922231673
VI	185	0.8014184134645638
VII	185	0.8495150970722496
VIII	185	0.8600942338214462
IX	185	0.7976121194485869
X	185	0.8176281359327712
XI	185	0.8012810130530761
XII	185	0.8345290244551683
XIII	185	0.8162253321232196
XIV	185	0.8257041333209236
XV	185	0.8260949645878138
XVI	185	0.8322574588688973
I	190	0.7841610994796236
II	190	0.802558830473792
III	190	0.903483088716521
IV	190	0.820845298064602
V	190	0.7989949138125575
VI	190	0.7937711216644889
VII	190	0.8458971162483729
VIII	190	0.8574424635159418
IX	190	0.7929041028625469
X	190	0.8093103462147553
XI	190	0.794235591227565
XII	190	0.8287767221893994
XIII	190	0.8078991293022411
XIV	190	0.8185069351920676
XV	190	0.821782640927122
XVI	190	0.8267072123670715
I	195	0.7791137096143655
II	195	0.7959084290886196
III	195	0.8992650535630967
IV	195	0.8150441305200684
V	195	0.7926258961584529
VI	195	0.7859054415700267
VII	195	0.8409390067281427
VIII	195	0.8495440270295729
IX	195	0.7867616302331503
X	195	0.8056965394615629
XI	195	0.7872801492465688
XII	195	0.8226812480696584
XIII	195	0.8028798255359243
XIV	195	0.8118643484336372
XV	195	0.8159464340858671
XVI	195	0.822620998959988
I	200	0.7739490396059387
II	200	0.7924922280812214
III	200	0.8949280240994792
IV	200	0.810259325962689
V	200	0.7864374121200548
VI	200	0.7844359474535555
VII	200	0.8365858800667314
VIII	200	0.8453317645469685
IX	200	0.7827060524497145
X	200	0.8001102244582977
XI	200	0.7807641088396199
XII	200	0.8180892376669137
XIII	200	0.7968945221438918
XIV	200	0.8078188728511997
XV	200	0.8112318345885744
XVI	200	0.8178238645832674
I	205	0.7660174269605331
II	205	0.7870002361089249
III	205	0.8911108118856528
IV	205	0.8042988825229301
V	205	0.7804346693978162
VI	205	0.7776511043414852
VII	205	0.8324903294406658
VIII	205	0.8420863673768268
IX	205	0.7780957880187684
X	205	0.7944032257415679
XI	205	0.7710327886553412
XII	205	0.812639297629239
XIII	205	0.7905327709693855
XIV	205	0.8029076935434312
XV	205	0.8062230880672524
XVI	205	0.8114002611632524
I	210	0.7578425666107776
II	210	0.779319317645207
III	210	0.8878384683553421
IV	210	0.7995512858591074
V	210	0.7743052059645529
VI	210	0.7738015479658426
VII	210	0.8281060369956185
VIII	210	0.8380020723620484
IX	210	0.7719305823300476
X	210	0.7893787604709883
XI	210	0.7651061162299645
XII	210	0.8076169311717835
XIII	210	0.7855740450071449
XIV	210	0.7984019542719738
XV	210	0.8003080754812419
XVI	210	0.8074511690114401
I	215	0.7522782753737761
II	215	0.7756608590429718
III	215	0.885824959369706
IV	215	0.7952456145275283
V	215	0.7702310483101013
VI	215	0.7682900196549465
VII	215	0.8228335197169414
VIII	215	0.8346002705090084
IX	215	0.7670907139999272
X	215	0.7825158799652967
XI	215	0.7580726917170554
XII	215	0.8022820000797642
XIII	215	0.7809636414183427
XIV	215	0.7921597076751838
XV	215	0.7960241585424969
XVI	215	0.8036318146626923
I	220	0.7465706417395686
II	220	0.7689600385644577
III	220	0.882402307237046
IV	220	0.7889999105705015
V	220	0.7653149790824032
VI	220	0.7642516869570367
VII	220	0.816426201257631
VIII	220	0.831500614066113
IX	220	0.7626418542901829
X	220	0.7752158562308331
XI	220	0.7518640824455322
XII	220	0.7964276737493009
XIII	220	0.7736510350691398
XIV	220	0.7860666324125085
XV	220	0.7888363415440978
XVI	220	0.7983631941236159
I	225	0.7397683934357869
II	225	0.7637422772705809
III	225	0.8817071299511811
IV	225	0.7821627969369418
V	225	0.7595240161785894
VI	225	0.7617790872849893
VII	225	0.8102957082882651
VIII	225	0.8279157476410441
IX	225	0.7570654348379587
X	225	0.7674317567123611
XI	225	0.7471776322103849
XII	225	0.7924988197670698
XIII	225	0.7693089046126752
XIV	225	0.7800997790479299
XV	225	0.7843379996719482
XVI	225	0.7913046138138062
I	230	0.7358286493671216
II	230	0.7561744943333858
III	230	0.8788575293649775
IV	230	0.7768087768851509
V	230	0.755175586300276
VI	230	0.7575704857473877
VII	230	0.8063184043118778
VIII	230	0.823463546156266
IX	230	0.7529211981231586
X	230	0.7643784587617046
XI	230	0.7437598977828966
XII	230	0.7867947470591563
XIII	230	0.7638925998803588
XIV	230	0.7751643753354761
XV	230	0.7789168975094636
XVI	230	0.7855444663135267
I	235	0.7307856032108697
II	235	0.7515875865732725
III	235	0.8781216434993095
IV	235	0.7719495565406581
V	235	0.749511344107487
VI	235	0.7515259419383257
VII	235	0.8026875905182687
VIII	235	0.8180711392481556
IX	235	0.7492111628414505
X	235	0.7587693479458961
XI	235	0.7392099169785968
XII	235	0.780530469486921
XIII	235	0.7573253168705939
XIV	235	0.7707019849987187
XV	235	0.774660470946796
XVI	235	0.7818537949889565
I	240	0.7256079020754241
II	240	0.7442657504328664
III	240	0.8736405682917741
IV	240	0.7655791735017132
V	240	0.7416633395247105
VI	240	0.7435899334100777
VII	240	0.7974618219150458
VIII	240	0.8151065595768543
IX	240	0.7432596479103772
X	240	0.7527043208792211
XI	240	0.7349238770515405
XII	240	0.7736818722714359
XIII	240	0.7529474887795844
XIV	240	0.7643309665664967
XV	240	0.7709428557552477
XVI	240	0.7770830300844034
I	245	0.72034767046886
II	245	0.7406896840075555
III	245	0.8698421446532412
IV	245	0.7609869361127413
V	245	0.7365893033832694
VI	245	0.7372936878379929
VII	245	0.7932351916695694
VIII	245	0.8125134410274366
IX	245	0.7393950278252646
X	245	0.7461699682601833
XI	245	0.7272710912755542
XII	245	0.7689451731951248
XIII	245	0.7482289105406461
XIV	245	0.7603046155140737
XV	245	0.7682717075463832
XVI	245	0.7727225741667774
I	250	0.7192660869263047
II	250	0.7351989217692428
III	250	0.8644185092518076
IV	250	0.7545284291153725
V	250	0.7305657298592185
VI	250	0.7354614470630476
VII	250	0.7893825508277266
VIII	250	0.8085446721988899
IX	250	0.7354417488087877
X	250	0.7401786923517367
XI	250	0.7190844250887801
XII	250	0.7618368783604176
XIII	250	0.7428699383729018
XIV	250	0.754288038371457
XV	250	0.7637266320349018
XVI	250	0.7677577299470711
I	255	0.71597355549957
II	255	0.7295987132063592
III	255	0.8604572512940631
IV	255	0.7494022258153588
V	255	0.7217733955942854
VI	255	0.7317118310933111
VII	255	0.7856637395273801
VIII	255	0.8044870370732419
IX	255	0.7319840504855781
X	255	0.7354250949713779
XI	255	0.7145284456281793
XII	255	0.7578486649223644
XIII	255	0.7362810204331096
XIV	255	0.7452408607058482
XV	255	0.7588654171985291
XVI	255	0.7605462066986898
I	260	0.7137278579433407
II	260	0.7235693274830789
III	260	0.858036656510398
IV	260	0.7440162200305105
V	260	0.7177582585449684
VI	260	0.7288468727906693
VII	260	0.782363833024731
VIII	260	0.8012789637478828
IX	260	0.7243548357763795
X	260	0.731962813325091
XI	260	0.7060148526730012
XII	260	0.753542321900764
XIII	260	0.7306970449930822
XIV	260	0.7393224561506401
XV	260	0.7541398215508054
XVI	260	0.7559072891549744
I	265	0.708020224309133
II	265	0.716462694789863
III	265	0.8563926561722035
IV	265	0.7398913660062156
