,Feature
YML016C,4
YNL083W,4
YNL222W,4
YML008C,4
YNL080C,4
YER030W,4
YNL077W,4
YGR215W,4
YNL075W,4
YGR214W,4
YML004C,4
YNL250W,4
YFL029C,4
YHL001W,4
YNL200C,4
YER154W,4
YGR204C-A,4
YER153C,4
YER075C,4
YER094C,4
YNL131W,4
YER071C,4
YER068W,4
YML070W,4
YER063W,4
YER061C,4
YER122C,4
YGR266W,4
YER126C,4
YNL168C,4
YGR264C,4
YHL030W,4
YER140W,4
YNL186W,4
YGR256W,4
YML078W,4
YGR251W,4
YER048C,4
YNL111C,4
YML031W,4
YKL100C,4
YML107C,4
YHR001W-A,4
YGL162W,4
YML130C,4
YMR039C,4
YGR146C-A,4
YMR311C,4
YGR144W,4
YMR308C,4
YMR307W,4
YGL236C,4
YGL235W,4
YHR037W,4
YNL010W,4
YMR295C,4
YMR062C,4
YEL065W,4
YGL202W,4
YEL066W,4
YEL068C,4
YGL196W,4
YGR121W-A,4
YNR007C,4
YMR067C,4
YLR432W,4
YMR262W,4
YDR527W,4
YGR159C,4
YEL031W,4
YER008C,4
YNL313C,4
YML108W,4
YNL270C,4
YFL009W,4
YGR199W,4
YFL002C,4
YFL001W,4
YNL281W,4
YFR015C,4
YFR017C,4
YNL294C,4
YNL298W,4
YMR027W,4
YML116W,4
YFR027W,4
YNL049C,4
YFR029W,4
YGR179C,4
YML119W,4
YML120C,4
YGR174C,4
YFR035C,4
YFR036W,4
YMR030W-A,4
YKL096C-B,4
YDR150W,4
YHR106W,4
YCL018W,4
YCR006C,4
YCR010C,4
YPL216W,4
YPL219W,4
YCR021C,4
YLL015W,4
YCR050C,4
YJL099W,4
YCR069W,4
YPL245W,4
YJL109C,4
YLR009W,4
YCR087C-A,4
YJL127C,4
YPL262W,4
YPL265W,4
YLR020C,4
YLR029C,4
YCR106W,4
YJL143W,4
YLR373C,4
YPL200W,4
YJL066C,4
YLR136C,4
YCL037C,4
YLL051C,4
YPL163C,4
YJL035C,4
YPL167C,4
YPL168W,4
YBR286W,4
YPL171C,4
YBR290W,4
YJL047C-A,4
YPL178W,4
YPL179W,4
YBR296C-A,4
YBR299W,4
YCL061C,4
YCL056C,4
YLL043W,4
YCL054W,4
YCL049C,4
YCL048W,4
YCL043C,4
YPL190C,4
YOR375C,4
YLR042C,4
YDL227C,4
YDL220C,4
YDL081C,4
YLR099W-A,4
YDL078C,4
YOR291W,4
YDL067C,4
YOR276W,4
YOR275C,4
YOR274W,4
YIR037W,4
YDL048C,4
YDL046W,4
YIR036C,4
YOR262W,4
YDL044C,4
YOR254C,4
YDL030W,4
YLR118C,4
YLR119W,4
YDL018C,4
YLR130C,4
YOR239W,4
YDL082W,4
YJL212C,4
YLR099C,4
YDL173W,4
YDL219W,4
YOR367W,4
YJL153C,4
YDL215C,4
YDL213C,4
YOR362C,4
YJL155C,4
YJL167W,4
YJL172W,4
YDL169C,4
YOR304W,4
YJL178C,4
YOR336W,4
YDL159W-A,4
YOR329C,4
YOR319W,4
YOR317W,4
YDL129W,4
YLR083C,4
YDL110C,4
YPL156C,4
YLL056C,4
YPL150W,4
YPR026W,4
YKL179C,4
YKL052C,4
YBL076C,4
YKL181W,4
YKL183C-A,4
YBL060W,4
YBL051C,4
YKL043W,4
YKL042W,4
YBL045C,4
YPR081C,4
YBL029C-A,4
YKL207W,4
YKL022C,4
YKL020C,4
YPR056W,4
YBL007C,4
YJR146W,4
YKR006C,4
YBR017C,4
YPR029C,4
YKL053C-A,4
YKL170W,4
YPR133C,4
YKL125W,4
YAL063C-A,4
YKL105C,4
YKL110C,4
YPR187W,4
YPR186C,4
YPR183W,4
YKL113C,4
YKL084W,4
YKL122C,4
YPR166C,4
YKL062W,4
YKL080W,4
YAR015W,4
YAR018C,4
YPR154W,4
YKL067W,4
YKL156W,4
YBL100W-C,4
YPR140W,4
YPR139C,4
YJR137C,4
YJR135W-A,4
YKR099W,4
YPR024W,4
YJR052W,4
YPL088W,4
YPL095C,4
YJR045C,4
YPL097W,4
YJR040W,4
YBR186W,4
YBR189W,4
YPL106C,4
YPL117C,4
YBR203W,4
YJR022W,4
YBR211C,4
YPL124W,4
YPL127C,4
YBR218C,4
YKR087C,4
YKR089C,4
YBR223C,4
YBR225W,4
YBR230W-A,4
YPL081W,4
YJR059W,4
YBR151W,4
YPL011C,4
YBR038W,4
YKR017C,4
YPR017C,4
YJR122W,4
YJR118C,4
YBR063C,4
YJR108W,4
YJR100C,4
YBR083W,4
YBR085W,4
YKR052C,4
YKR031C,4
YPL019C,4
YBR111C,4
YBR111W-A,4
YJR086W,4
YPL037C,4
YPL038W,4
YBR144C,4
YPL050C,4
YOR236W,4
YOR376W,4
YOR026W,4
YLR245C,4
YDR186C,4
YOR059C,4
YOR057W,4
YIL098C,4
YDR202C,4
YIL101C,4
YLR246W,4
YIL105C,4
YDR208W,4
YDR214W,4
YDR215C,4
YDR221W,4
YOR034C,4
YIL119C,4
YIL120W,4
YDL007C-A,4
YIL124W,4
YIL097W,4
YOR066W,4
YIL039W,4
YDR174W,4
YIL046W,4
YDR123C,4
YDR126W,4
YOR113W,4
YIL066C,4
YOR107W,4
YDR143C,4
YOR099W,4
YOR098C,4
YMR141C,4
YOR097C,4
YDR158W,4
YOR087W,4
YOR085W,4
YLR233C,4
YDR171W,4
YLR234W,4
YIL125W,4
YIL130W,4
YDR244W,4
YIL135C,4
YOL084W,4
YOL085C,4
YOL101C,4
YDR387C,4
YDR390C,4
YDR393W,4
YHR135C,4
YDR399W,4
YHR133C,4
YHR132C,4
YHR129C,4
YLR356W,4
YOL137W,4
YHR117W,4
YLR361C,4
YDR448W,4
YLR371W,4
YHR161C,4
YLR328W,4
YDR343C,4
YHR204W,4
YOR011W,4
YLR260W,4
YOL005C,4
YDR275W,4
YOL006C,4
YLR267W,4
YDR298C,4
YHR199C-A,4
YHR181W,4
YLR300W,4
YDR322C-A,4
YHR193C,4
YLR307C-A,4
YHR183W,4
YOL062C,4
YDR337W,4
YDR111C,4
YGR007W,4
YOR132W,4
YDR017C,4
YDR035W,4
YOR179C,4
YOR214C,4
YLR173W,4
YDR034C,4
YLR172C,4
YLR146W-A,4
YLR193C,4
YOR154W,4
YOR222W,4
YLR146C,4
YOR209C,4
YDR106W,4
YOR184W,4
YLR176C,4
YDR105C,4
YOR219C,4
YOR164C,4
YIL017C,4
YGR274C,3
YJR132W,3
YJR123W,3
YLR175W,3
YKR013W,3
YMR093W,3
YJR135C,3
YJR126C,3
YHR203C,3
YGR275W,3
YGR276C,3
YLR303W,3
YJR136C,3
YGR080W,3
YLR100W,3
YMR098C,3
YMR101C,3
YKR008W,3
YMR103C,3
YKR007W,3
YKR003W,3
YML053C,3
YKL002W,3
YJR148W,3
YJR119C,3
YKR027W,3
YKR026C,3
YMR076C,3
YLR274W,3
YGR101W,3
YJR092W,3
YGR271C-A,3
YMR081C,3
YIL154C,3
YMR075C-A,3
YLR285W,3
YIL153W,3
YLR436C,3
YHL029C,3
YJR082C,3
YJR079W,3
YKR044W,3
YMR085W,3
YKR035W-A,3
YJR094W-A,3
YJR097W,3
YIL158W,3
YJR099W,3
YLR424W,3
YGR093W,3
YGR092W,3
YHR057C,3
YIL160C,3
YIL164C,3
YJR101W,3
YJR102C,3
YJR104C,3
YMR110C,3
YJR107W,3
YHR067W,3
YKL013C,3
YKL003C,3
YKL141W,3
YGR025W,3
YKL129C,3
YKL133C,3
YHR128W,3
YLR121C,3
YKL077W,3
YIR033W,3
YLR312C,3
YLR115W,3
YMR124W,3
YLR148W,3
YKL065C,3
YLR114C,3
YLR392C,3
YKL126W,3
YHR124W,3
YKL124W,3
YGR020C,3
YIR029W,3
YHR118C,3
YKL085W,3
YLR382C,3
YGR015C,3
YHL042W,3
YGR010W,3
YML067C,3
YKL091C,3
YKL092C,3
YHR111W,3
YKL104C,3
YHL037C,3
YKL160W,3
YHR143W-A,3
YLR393W,3
YKL195W,3
YMR111C,3
YLR438W,3
YKL016C,3
YLR314C,3
YLR320W,3
YKL212W,3
YKL027W,3
YGR061C,3
YHR171W,3
YML054C-A,3
YKL033W-A,3
YLR330W,3
YHR162W,3
YKL038W,3
YMR114C,3
YKL175W,3
YIR010W,3
YLR412C-A,3
YGR049W,3
YGR048W,3
YLR335W,3
YKL044W,3
YKL045W,3
YLR337C,3
YLR154C-H,3
YLR411W,3
YLR152C,3
YHR153C,3
YLR399C,3
YHR150W,3
YJR074W,3
YKR057W,3
YGR122W,3
YJL071W,3
YJL063C,3
YJL065C,3
YHR015W,3
YIL027C,3
YML088W,3
YLL027W,3
YJL072C,3
YJL061W,3
YJL174W,3
YLR228C,3
YMR008C,3
YML029W,3
YJL074C,3
YLR199C,3
YLL028W,3
YML086C,3
YJL047C,3
YLR071C,3
YHR024C,3
YJL048C,3
YLR078C,3
YGR247W,3
YGR183C,3
YLR072W,3
YIL094C,3
YJL055W,3
YIL022W,3
YIL092W,3
YHR017W,3
YMR014W,3
YLR195C,3
YLR243W,3
YJL076W,3
YMR003W,3
YHR005C,3
YLR216C,3
YIL035C,3
YML022W,3
YIL065C,3
YHL005C,3
YLR205C,3
YML103C,3
YML007W,3
YJL077C,3
YJL140W,3
YJL141C,3
YIL061C,3
YHL013C,3
YJL145W,3
YHL020C,3
YJL161W,3
YJL122W,3
YJL118W,3
YLR006C,3
YJL163C,3
YLR003C,3
YLR002C,3
YHR002W,3
YLR200W,3
YJL100W,3
YGR240C,3
YJL094C,3
YLL011W,3
YJL170C,3
YIL033C,3
YJL082W,3
YJL079C,3
YGR255C,3
YLR079W,3
YML074C,3
YJR033C,3
YLR258W,3
YJR044C,3
YHR039C-A,3
YJR036C,3
YGR141W,3
YIL007C,3
YLR253W,3
YGR132C,3
YJR032W,3
YIL132C,3
YJR031C,3
YLR096W,3
YLR178C,3
YJL205C,3
YJR046W,3
YHR042W,3
YHR026W,3
YKR065C,3
YJL149W,3
YHR047C,3
YKR058W,3
YJR065C,3
YMR063W,3
YIL151C,3
YLR262C,3
YJR049C,3
YGR127W,3
YIL006W,3
YJR051W,3
YJR050W,3
YHR043C,3
YMR060C,3
YKR075C,3
YJL201W,3
YLR451W,3
YJL200C,3
YGR165W,3
YML038C,3
YJL029C,3
YIL117C,3
YLR248W,3
YLL054C,3
YMR029C,3
YGR153W,3
YLR090W,3
YIL106W,3
YGR175C,3
YJL037W,3
YGR178C,3
YJL044C,3
YMR035W,3
YLR179C,3
YJL016W,3
YJL011C,3
YKR095W,3
YJR005W,3
YML042W,3
YKR091W,3
YLR456W,3
YHR031C,3
YML043C,3
YML046W,3
YJR010C-A,3
YGR155W,3
YLR251W,3
YLR452C,3
YJR015W,3
YLR143W,3
YAL067C,3
YMR143W,3
YOR161C-C,3
YOR140W,3
YOR141C,3
YDR090C,3
YDR089W,3
YDR088C,3
YOR145C,3
YOR156C,3
YDR071C,3
YOR131C,3
YDR069C,3
YOR171C,3
YOR174W,3
YOR176W,3
YOR177C,3
YOR181W,3
YDR046C,3
YOR133W,3
YOR130C,3
YDR524C,3
YDR159W,3
YMR146C,3
YDR184C,3
YOR060C,3
YOR061W,3
YOR077W,3
YDR170C,3
YDR168W,3
YDR151C,3
YOR128C,3
YOR110W,3
YDR130C,3
YDR128W,3
YOR114W,3
YOR116C,3
YOR119C,3
YDR117C,3
YDR041W,3
YOR185C,3
YDR036C,3
YOR313C,3
YDL088C,3
YDL095W,3
YDL097C,3
YDL105W,3
YDL107W,3
YDL108W,3
YOR310C,3
YDL116W,3
YDR034W-B,3
YDL122W,3
YDL130W-A,3
YOR314W,3
YOR320C,3
YOR327C,3
YOR334W,3
YOR337W,3
YOR297C,3
YOR290C,3
YDL070W,3
YOR289W,3
YDR030C,3
YOR198C,3
YDR014W,3
YOR208W,3
YOR210W,3
YOR213C,3
YOR226C,3
YOR231W,3
YOR235W,3
YDL017W,3
YDL021W,3
YDL025C,3
YDL029W,3
YOR253W,3
YOR271C,3
YDR205W,3
YOR043W,3
YDR211W,3
YOL114C,3
YDR444W,3
YOL139C,3
YDR440W,3
YOL138C,3
YOL132W,3
YOL131W,3
YOL115W,3
YOL111C,3
YDR375C,3
YOL110W,3
YDR404C,3
YDR402C,3
YDR394W,3
YOL103W,3
YDR382W,3
YOL098C,3
YOL142W,3
YOL143C,3
YDR454C,3
YOL155C,3
YNR018W,3
YNR026C,3
YNR027W,3
YDR501W,3
YDR499W,3
YNR032C-A,3
YDR496C,3
YNR033W,3
YDR484W,3
YNR047W,3
YDR478W,3
YDR476C,3
YDR469W,3
YNR075W,3
YOL158C,3
YOL097W-A,3
YOL092W,3
YDR212W,3
YOR012W,3
YDR296W,3
YDR285W,3
YDR280W,3
YOR004W,3
YDR258C,3
YDR256C,3
YOR011W-A,3
YDR246W-A,3
YDR368W,3
YDR246W,3
YOR023C,3
YDR238C,3
YDR235W,3
YOR029W,3
YOR035C,3
YOR037W,3
YOL026C,3
YOL028C,3
YDR305C,3
YDR309C,3
